,Match_ID,Unique_Team_ID,MainTeam,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Result,goals_scored,weather
1090,1637,2,Dortmund,D1,2011,2012-01-28,Dortmund,Hoffenheim,3,1,H,W,3,partly-cloudy-day
1092,1638,6,M'gladbach,D1,2011,2012-03-24,M'gladbach,Hoffenheim,1,2,A,L,1,Clear
1094,1639,9,Hoffenheim,D1,2011,2012-02-11,Werder Bremen,Hoffenheim,1,1,D,D,1,partly-cloudy-day
1096,1640,3,Leverkusen,D1,2011,2011-12-02,Leverkusen,Hoffenheim,2,0,H,W,2,rain
1098,1641,9,Hoffenheim,D1,2011,2011-10-15,Stuttgart,Hoffenheim,2,0,H,L,0,Clear
1100,1642,9,Hoffenheim,D1,2011,2012-04-07,Kaiserslautern,Hoffenheim,1,2,A,W,2,partly-cloudy-day
1102,1643,1,Bayern Munich,D1,2011,2012-03-10,Bayern Munich,Hoffenheim,7,1,H,W,7,partly-cloudy-day
1104,1644,8,FC Koln,D1,2011,2011-09-25,FC Koln,Hoffenheim,2,0,H,W,2,Clear
1106,1645,9,Hoffenheim,D1,2011,2012-05-05,Hertha,Hoffenheim,3,1,H,L,1,rain
1108,1646,9,Hoffenheim,D1,2011,2011-09-10,Mainz,Hoffenheim,0,4,A,W,4,partly-cloudy-day
1110,1647,5,Schalke 04,D1,2011,2011-10-29,Schalke 04,Hoffenheim,3,1,H,W,3,Clear
1112,1648,9,Hoffenheim,D1,2011,2011-08-06,Hannover,Hoffenheim,2,1,H,L,1,rain
1114,1649,9,Hoffenheim,D1,2011,2011-12-10,Nurnberg,Hoffenheim,0,2,A,W,2,partly-cloudy-day
1116,1650,9,Hoffenheim,D1,2011,2011-08-20,Augsburg,Hoffenheim,0,2,A,W,2,Clear
1118,1651,9,Hoffenheim,D1,2011,2012-04-15,Freiburg,Hoffenheim,0,0,D,D,0,partly-cloudy-day
1120,1652,7,Wolfsburg,D1,2011,2012-02-25,Wolfsburg,Hoffenheim,1,2,A,L,1,partly-cloudy-day
1122,1653,37,Dresden,D2,2011,2011-12-04,Dresden,Frankfurt FSV,2,2,D,D,2,partly-cloudy-day
1124,1654,42,Munich 1860,D2,2011,2011-09-18,Munich 1860,Frankfurt FSV,4,0,H,W,4,rain
1126,1655,24,Greuther Furth,D2,2011,2011-11-20,Greuther Furth,Frankfurt FSV,4,0,H,W,4,Clear
1128,1656,29,Karlsruhe,D2,2011,2011-08-27,Karlsruhe,Frankfurt FSV,0,4,A,L,0,partly-cloudy-day
1130,1657,32,Duisburg,D2,2011,2012-02-03,Duisburg,Frankfurt FSV,1,2,A,L,1,partly-cloudy-day
1132,1658,27,St Pauli,D2,2011,2011-10-23,St Pauli,Frankfurt FSV,2,1,H,W,2,Clear
1134,1659,23,Braunschweig,D2,2011,2012-03-16,Braunschweig,Frankfurt FSV,0,0,D,D,0,Clear
1136,1660,19,Ingolstadt,D2,2011,2011-08-14,Ingolstadt,Frankfurt FSV,1,1,D,D,1,rain
1138,1661,35,Union Berlin,D2,2011,2011-12-10,Union Berlin,Frankfurt FSV,4,0,H,W,4,partly-cloudy-day
1140,1662,34,Aachen,D2,2011,2011-09-30,Aachen,Frankfurt FSV,1,3,A,L,1,Clear
1142,1663,39,Erzgebirge Aue,D2,2011,2012-03-04,Erzgebirge Aue,Frankfurt FSV,4,3,H,W,4,Clear
1144,1664,14,Ein Frankfurt,D2,2011,2012-02-18,Ein Frankfurt,Frankfurt FSV,6,1,H,W,6,partly-cloudy-day
1146,1665,21,Paderborn,D2,2011,2012-04-29,Paderborn,Frankfurt FSV,1,0,H,W,1,Clear
1148,1666,31,Cottbus,D2,2011,2012-04-01,Cottbus,Frankfurt FSV,1,1,D,D,1,partly-cloudy-day
1150,1667,28,Bochum,D2,2011,2011-07-22,Bochum,Frankfurt FSV,1,0,H,W,1,rain
1152,1668,33,Hansa Rostock,D2,2011,2012-04-13,Hansa Rostock,Frankfurt FSV,0,5,A,L,0,partly-cloudy-day
1154,1669,25,Fortuna Dusseldorf,D2,2011,2012-04-10,Fortuna Dusseldorf,Frankfurt FSV,1,0,H,W,1,partly-cloudy-day
1156,1670,19,Ingolstadt,D2,2011,2012-03-23,Bochum,Ingolstadt,0,1,A,W,1,clear-day
1158,1671,19,Ingolstadt,D2,2011,2011-11-27,Cottbus,Ingolstadt,0,0,D,D,0,wind
1160,1672,19,Ingolstadt,D2,2011,2011-10-15,Duisburg,Ingolstadt,3,1,H,L,1,Clear
1162,1673,19,Ingolstadt,D2,2011,2011-11-04,Karlsruhe,Ingolstadt,3,2,H,L,2,Clear
1164,1674,19,Ingolstadt,D2,2011,2011-08-19,Greuther Furth,Ingolstadt,3,0,H,L,0,partly-cloudy-day
1166,1675,19,Ingolstadt,D2,2011,2012-02-10,Frankfurt FSV,Ingolstadt,1,1,D,D,1,partly-cloudy-day
1168,1676,19,Ingolstadt,D2,2011,2011-12-16,Erzgebirge Aue,Ingolstadt,1,1,D,D,1,rain
1170,1677,19,Ingolstadt,D2,2011,2011-09-11,Union Berlin,Ingolstadt,4,1,H,L,1,rain
1172,1678,19,Ingolstadt,D2,2011,2011-07-16,St Pauli,Ingolstadt,2,0,H,L,0,Clear
1174,1679,19,Ingolstadt,D2,2011,2012-03-11,Dresden,Ingolstadt,0,0,D,D,0,partly-cloudy-day
1176,1680,19,Ingolstadt,D2,2011,2011-09-23,Paderborn,Ingolstadt,4,1,H,L,1,partly-cloudy-day
1178,1681,14,Ein Frankfurt,D2,2011,2012-04-11,Ein Frankfurt,Ingolstadt,1,1,D,D,1,partly-cloudy-day
1180,1682,19,Ingolstadt,D2,2011,2011-10-23,Aachen,Ingolstadt,3,1,H,L,1,Clear
1182,1683,19,Ingolstadt,D2,2011,2012-05-06,Braunschweig,Ingolstadt,3,1,H,L,1,rain
1184,1684,19,Ingolstadt,D2,2011,2011-08-05,Fortuna Dusseldorf,Ingolstadt,4,1,H,L,1,rain
1186,1685,19,Ingolstadt,D2,2011,2012-02-24,Hansa Rostock,Ingolstadt,1,2,A,W,2,rain
1188,1686,19,Ingolstadt,D2,2011,2012-04-21,Munich 1860,Ingolstadt,4,1,H,L,1,partly-cloudy-day
1190,1687,24,Greuther Furth,D2,2011,2012-04-29,Greuther Furth,Fortuna Dusseldorf,1,1,D,D,1,Clear
1192,1688,25,Fortuna Dusseldorf,D2,2011,2011-10-17,St Pauli,Fortuna Dusseldorf,1,3,A,W,3,Clear
1194,1689,25,Fortuna Dusseldorf,D2,2011,2011-12-05,Duisburg,Fortuna Dusseldorf,0,2,A,W,2,partly-cloudy-day
1196,1690,25,Fortuna Dusseldorf,D2,2011,2012-04-16,Dresden,Fortuna Dusseldorf,2,1,H,L,1,Clear
1198,1691,25,Fortuna Dusseldorf,D2,2011,2011-10-30,Frankfurt FSV,Fortuna Dusseldorf,2,5,A,W,5,Clear
1200,1692,25,Fortuna Dusseldorf,D2,2011,2012-04-05,Hansa Rostock,Fortuna Dusseldorf,2,1,H,L,1,partly-cloudy-day
1202,1693,19,Ingolstadt,D2,2011,2012-02-04,Ingolstadt,Fortuna Dusseldorf,1,1,D,D,1,partly-cloudy-day
1204,1694,23,Braunschweig,D2,2011,2011-10-03,Braunschweig,Fortuna Dusseldorf,1,1,D,D,1,Clear
1206,1695,25,Fortuna Dusseldorf,D2,2011,2012-03-03,Karlsruhe,Fortuna Dusseldorf,0,5,A,W,5,Clear
1208,1696,25,Fortuna Dusseldorf,D2,2011,2012-03-19,Cottbus,Fortuna Dusseldorf,1,1,D,D,1,partly-cloudy-day
1210,1697,25,Fortuna Dusseldorf,D2,2011,2011-11-19,Union Berlin,Fortuna Dusseldorf,0,0,D,D,0,partly-cloudy-day
1212,1698,25,Fortuna Dusseldorf,D2,2011,2012-02-19,Munich 1860,Fortuna Dusseldorf,2,1,H,L,1,rain
1214,1699,21,Paderborn,D2,2011,2011-07-24,Paderborn,Fortuna Dusseldorf,1,1,D,D,1,partly-cloudy-day
1216,1700,25,Fortuna Dusseldorf,D2,2011,2011-12-10,Bochum,Fortuna Dusseldorf,1,1,D,D,1,partly-cloudy-day
1218,1701,14,Ein Frankfurt,D2,2011,2011-08-15,Ein Frankfurt,Fortuna Dusseldorf,1,1,D,D,1,rain
1220,1702,25,Fortuna Dusseldorf,D2,2011,2011-08-27,Aachen,Fortuna Dusseldorf,0,0,D,D,0,partly-cloudy-day
1222,1703,25,Fortuna Dusseldorf,D2,2011,2011-09-16,Erzgebirge Aue,Fortuna Dusseldorf,2,4,A,W,4,partly-cloudy-day
